Zone,Id,Type,Lat,Long
Zone_1,2914,collective_house,7.731917758,48.62120541
Zone_1,3000,single_house,7.730816838,48.62285141
Zone_1,2981,single_house,7.730902737,48.62255582
Zone_1,3011,single_house,7.73256811,48.62292525
Zone_1,3015,single_house,7.732822208,48.62300191
Zone_1,3006,single_house,7.732319617,48.6228658
Zone_1,3002,single_house,7.732027978,48.62280255
Zone_1,2997,single_house,7.731768112,48.62273212
Zone_1,2994,single_house,7.731517111,48.62271165
Zone_1,2992,single_house,7.731233866,48.62264605
Zone_1,2952,single_house,7.731671552,48.62186877
Zone_1,2958,single_house,7.731579088,48.62204263
Zone_1,2975,single_house,7.731414296,48.62241447
Zone_1,3018,light_building,7.730881203,48.62313897
Zone_1,3024,single_house,7.733095149,48.6230994
Zone_1,2991,single_house,7.730864684,48.62270855
Zone_1,3008,single_house,7.730797393,48.62295668
Zone_1,2930,single_house,7.731132731,48.62153395
Zone_1,2864,single_house,7.731456247,48.62034097
Zone_1,2868,single_house,7.731422911,48.62043272
Zone_1,2875,single_house,7.732108657,48.62056904
Zone_1,2873,single_house,7.731901778,48.62051612
Zone_1,2871,single_house,7.731609315,48.62048284
Zone_1,2884,single_house,7.731362244,48.62078099
Zone_1,2876,single_house,7.731365839,48.62063818
Zone_1,2872,single_house,7.731389961,48.62053558
Zone_1,2898,commercial_building,7.731384649,48.62099495
Zone_1,2905,single_house,7.731224491,48.62116097
Zone_1,2920,single_house,7.73132354,48.62134305
Zone_1,2947,single_house,7.731307213,48.6218073
Zone_1,2948,single_house,7.731086706,48.6218735
Zone_1,2967,commercial_building,7.73113213,48.62218023
Zone_1,2902,collective_house,7.73231695,48.62097223
Zone_1,3037,commercial_building,7.732337949,48.6233868
Zone_1,2935,collective_house,7.73177837,48.6215606
Zone_1,2964,single_house,7.731530351,48.6222299
Zone_1,3021,collective_house,7.731312415,48.62303241
Zone_1,2908,collective_house,7.733044909,48.62100856
Zone_1,2882,light_building,7.73158786,48.62070607
Zone_1,3040,single_house,7.732817858,48.62345227
Zone_1,2889,garage,7.732331624,48.62077119
Zone_1,3026,collective_house,7.731828764,48.62314632
Zone_1,2886,single_house,7.732632289,48.6207536
Zone_1,2959,single_house,7.73272488,48.6220012
Zone_1,3001,single_house,7.733034081,48.62272755
Zone_1,2987,single_house,7.732974952,48.62255351
Zone_1,2989,single_house,7.732379587,48.62258595
Zone_1,3136,single_house,7.748128107,48.62425955
Zone_1,3170,collective_house,7.749909061,48.62438297
Zone_1,3168,single_house,7.749020411,48.62448293
Zone_1,3166,single_house,7.748598366,48.62449925
Zone_1,3205,single_house,7.748417553,48.62495656
Zone_1,3173,garage,7.748323876,48.62461412
Zone_1,3188,single_house,7.748441721,48.62476103
Zone_1,3230,single_house,7.748133143,48.62513696
Zone_1,3224,single_house,7.748944278,48.62506093
Zone_1,3221,single_house,7.749201756,48.62503319
Zone_1,3217,single_house,7.74944187,48.62500509
Zone_1,3242,single_house,7.75167519,48.62516664
Zone_1,3264,single_house,7.751192331,48.62538035
Zone_1,3202,single_house,7.751460311,48.62479049
Zone_1,3212,single_house,7.750724496,48.62493227
Zone_1,3248,single_house,7.751024141,48.62519884
Zone_1,3260,single_house,7.750928941,48.62537917
Zone_1,3304,commercial_building,7.751137654,48.62609356
Zone_1,3307,single_house,7.751043237,48.62625866
Zone_1,3294,single_house,7.751535884,48.62583673
Zone_1,3215,single_house,7.750506015,48.62495299
Zone_1,3180,single_house,7.750890976,48.62456633
Zone_1,3182,single_house,7.751170503,48.62456352
Zone_1,3238,single_house,7.751370979,48.62516511
Zone_1,3279,single_house,7.751776186,48.62560018
Zone_1,3263,single_house,7.751436248,48.6253301
Zone_1,3197,single_house,7.750929263,48.62475753
Zone_1,3278,single_house,7.751074434,48.62565583
Zone_1,3232,single_house,7.75193477,48.62500085
Zone_1,3200,single_house,7.7506812,48.624808
Zone_1,3228,single_house,7.751477689,48.6249754
Zone_1,3227,single_house,7.751739834,48.62497519
Zone_1,3253,single_house,7.750732963,48.62528383
Zone_1,3177,single_house,7.750446365,48.62456124
Zone_1,3214,single_house,7.750383339,48.62496335
Zone_1,3299,single_house,7.751358904,48.6260285
Zone_1,3213,single_house,7.751112394,48.62491524
Zone_1,3187,single_house,7.751540339,48.6245894
Zone_1,3210,single_house,7.750199654,48.62495962
Zone_1,3211,single_house,7.749996779,48.62496138
Zone_1,3218,single_house,7.749693893,48.6250048
Zone_1,3226,single_house,7.748733084,48.62507589
Zone_1,3203,single_house,7.751786741,48.62478394
Zone_1,3229,single_house,7.748474419,48.62513234
Zone_1,3249,single_house,7.748858482,48.62531599
Zone_1,3251,single_house,7.748570217,48.62537333
Zone_1,3169,single_house,7.748127555,48.62457967
Zone_1,3167,single_house,7.7494002,48.62444013
Zone_1,3117,single_house,7.747682448,48.62402722
Zone_1,3118,single_house,7.74723136,48.62404051
Zone_1,3159,single_house,7.747283237,48.6244823
Zone_1,3151,single_house,7.747678448,48.6244263
Zone_1,3132,single_house,7.747183372,48.62422599
Zone_1,3125,single_house,7.748315042,48.62403597
Zone_1,2910,single_house,7.747856072,48.62041608
Zone_1,2923,single_house,7.747658172,48.62065695
Zone_1,2940,single_house,7.747680543,48.62088236
Zone_1,2858,single_house,7.746566196,48.61948313
Zone_1,2859,single_house,7.746278261,48.61952127
Zone_1,2856,single_house,7.745761876,48.61952225
Zone_1,2854,single_house,7.74676713,48.61939373
Zone_1,2861,single_house,7.746877787,48.61952549
Zone_1,2857,single_house,7.746026917,48.61952086
Zone_1,2845,light_building,7.747022124,48.61906588
Zone_1,2828,light_building,7.746336633,48.61833721
Zone_1,2771,light_building,7.743181985,48.61678738
Zone_1,2769,single_house,7.743219686,48.61670195
Zone_1,2730,single_house,7.744109555,48.61566846
Zone_1,2723,single_house,7.744043184,48.61551318
Zone_1,4259,commercial_building,7.727009662,48.63439089
Zone_1,3921,commercial_building,7.727515111,48.6328361
Zone_1,4600,commercial_building,7.727690642,48.63385438
Zone_1,3986,single_house,7.727899412,48.63312892
Zone_1,3849,single_house,7.727876825,48.63246228
Zone_1,2709,garage,7.729219545,48.61594359
Zone_1,2714,garage,7.729406943,48.61600304
Zone_1,2739,collective_house,7.729514185,48.61642832
Zone_1,2745,garage,7.7295639,48.61667363
Zone_1,4536,single_house,7.739785722,48.63508232
Zone_1,4522,single_house,7.740240616,48.63508981
Zone_1,4483,single_house,7.740537038,48.63465126
Zone_1,4355,single_house,7.738433579,48.6342901
Zone_1,4325,light_building,7.740171375,48.63415467
Zone_1,4290,single_house,7.740080726,48.63396951
Zone_1,4555,single_house,7.733053828,48.63579299
Zone_1,4559,single_house,7.733480637,48.63580059
Zone_1,4516,single_house,7.732504613,48.63539982
Zone_1,4501,single_house,7.737492425,48.63511372
Zone_1,4554,single_house,7.732834665,48.63578843
Zone_1,4461,single_house,7.72880074,48.63531517
Zone_1,4470,single_house,7.728970377,48.63533125
Zone_1,4485,single_house,7.729284558,48.63537219
Zone_1,4495,single_house,7.72953889,48.63539573
Zone_1,4425,single_house,7.728272832,48.63517717
Zone_1,4454,single_house,7.728488292,48.63526772
Zone_1,4429,single_house,7.735845248,48.63484519
Zone_1,4488,single_house,7.730640596,48.63531086
Zone_1,4452,single_house,7.732204739,48.63511559
Zone_1,4475,single_house,7.729127253,48.63535378
Zone_1,4467,single_house,7.732965694,48.63515107
Zone_1,4324,light_building,7.746852279,48.63382345
Zone_1,4357,single_house,7.747086835,48.63396467
Zone_1,4331,light_building,7.747359871,48.6338618
Zone_1,4297,garage,7.746946529,48.63370251
Zone_1,4304,single_house,7.747068366,48.6337204
Zone_1,4346,light_building,7.747521326,48.63390326
Zone_1,4345,single_house,7.746836288,48.63392364
Zone_1,4378,single_house,7.747483425,48.63403194
Zone_1,4029,single_house,7.744654849,48.63251313
Zone_1,4447,single_house,7.743647367,48.63456024
Zone_1,4428,single_house,7.744648137,48.63441097
Zone_1,4340,single_house,7.744442116,48.63402667
Zone_1,4446,single_house,7.742016085,48.63457716
Zone_1,4301,single_house,7.744343778,48.63382941
Zone_1,4306,single_house,7.743093028,48.63391148
Zone_1,4440,single_house,7.74442107,48.63449956
Zone_1,4316,single_house,7.742609395,48.63392268
Zone_1,4445,light_building,7.746235686,48.6344525
Zone_1,4480,single_house,7.745300615,48.63459078
Zone_1,4504,single_house,7.746490173,48.63469396
Zone_1,4390,single_house,7.75065559,48.63390164
Zone_1,4456,single_house,7.750699077,48.63422663
Zone_1,4276,single_house,7.749627508,48.63344423
Zone_1,4263,single_house,7.750225496,48.63330282
Zone_1,4238,single_house,7.750906305,48.63313284
Zone_1,4198,single_house,7.753882954,48.63290429
Zone_1,4157,single_house,7.753734116,48.6327211
Zone_1,4139,commercial_building,7.753473361,48.63248008
Zone_1,4203,single_house,7.753710541,48.63290502
Zone_1,4041,single_house,7.750796521,48.63226941
Zone_1,4058,garage,7.75185841,48.63226085
Zone_1,4049,single_house,7.751057361,48.63226986
Zone_1,4020,single_house,7.751259866,48.63216731
Zone_1,4009,single_house,7.751519924,48.63209135
Zone_1,4001,garage,7.751721671,48.63206761
Zone_1,3998,single_house,7.752028118,48.63201346
Zone_1,4148,collective_house,7.750112727,48.63279507
Zone_1,4196,single_house,7.751494284,48.63297053
Zone_1,4322,single_house,7.753314211,48.63338577
Zone_1,4371,single_house,7.7522363,48.63377801
Zone_1,4014,single_house,7.752351842,48.63208737
Zone_1,4350,single_house,7.752497137,48.63366032
Zone_1,4273,single_house,7.753769593,48.63315337
Zone_1,4329,single_house,7.753166976,48.63357479
Zone_1,4107,light_building,7.750163503,48.63263407
Zone_1,4352,single_house,7.752812212,48.63364936
Zone_1,4149,single_house,7.752697107,48.63268146
Zone_1,4129,collective_house,7.751880073,48.63249251
Zone_1,4062,single_house,7.750279526,48.63239088
Zone_1,4054,single_house,7.750585238,48.63231751
Zone_1,3993,single_house,7.752511416,48.63196589
Zone_1,3978,single_house,7.753403608,48.63186421
Zone_1,4233,collective_house,7.753291129,48.63299169
Zone_1,4034,single_house,7.753368841,48.63207716
Zone_1,4031,commercial_building,7.753056117,48.63210932
Zone_1,4365,single_house,7.747316888,48.6339905
Zone_1,4319,light_building,7.746715913,48.63381019
Zone_1,4402,single_house,7.748083177,48.63409985
Zone_1,4136,single_house,7.74789798,48.63287742
Zone_1,4164,single_house,7.74789149,48.63303409
Zone_1,4201,single_house,7.747893249,48.63319322
Zone_1,4244,single_house,7.747885716,48.6333499
Zone_1,4269,single_house,7.747863904,48.63351392
Zone_1,4318,single_house,7.747850817,48.63371624
Zone_1,4284,single_house,7.748349603,48.63343742
Zone_1,4339,single_house,7.748319993,48.63378866
Zone_1,4192,single_house,7.748451928,48.63311748
Zone_1,4280,single_house,7.748850456,48.63342004
Zone_1,4341,single_house,7.749038284,48.63374084
Zone_1,4076,single_house,7.747767352,48.63256821
Zone_1,4142,single_house,7.748299481,48.63278641
Zone_1,4063,single_house,7.748288843,48.63248468
Zone_1,4078,single_house,7.748002397,48.63256459
Zone_1,4396,single_house,7.748314575,48.63406747
Zone_1,4353,single_house,7.7478383,48.63387837
Zone_1,3893,single_house,7.749150866,48.63175905
Zone_1,3996,single_house,7.748860443,48.63212889
Zone_1,3938,single_house,7.748741507,48.63193716
Zone_1,3929,single_house,7.749477366,48.63185583
Zone_1,3927,single_house,7.748958031,48.6318589
Zone_1,3952,single_house,7.749294789,48.63196078
Zone_1,3741,single_house,7.750562929,48.63091925
Zone_1,3738,single_house,7.750254537,48.63093847
Zone_1,3799,single_house,7.749791728,48.63125986
Zone_1,3803,single_house,7.749441593,48.63130754
Zone_1,3699,single_house,7.752682491,48.63060363
Zone_1,3770,single_house,7.752759397,48.63095215
Zone_1,3700,single_house,7.752976535,48.63058837
Zone_1,3755,single_house,7.753169751,48.63087969
Zone_1,3715,single_house,7.753388801,48.63062844
Zone_1,3732,single_house,7.75330368,48.63074528
Zone_1,3848,single_house,7.749431769,48.63148904
Zone_1,3903,single_house,7.749900504,48.63174208
